2
368
384
1174

@EQUIPMENT_ADDON;Lista de Addons
monster_faction_can_help;Ajuda o grupo (máscara)
aggro_range;Área de agressividade
aggro_time;Tempo de agressividade
inhabit_type;Posição
patroll_mode;Modo de patrulha
stand_mode;Modo
walk_speed;Velocidade de caminhada
run_speed;Velocidade de corrida
fly_speed;Velocidade de voo
swim_speed;Velocidade de nado
attack_degree;A taxa de ataque
defend_degree;Índice de protecção
common_strategy;AIPolicy ID (estratégia)
after_death;Após a morte
drop_times;Quantidade de drops
drop_protected;Drop livre
highest_frequency;Frequência
no_accept_player_buff;Não aceitar buffs do jogador
invisible_lvl;Nível de invisibilidade
uninvisible_lvl;Nível de visibilidade
no_auto_fight;Não ataque automaticamente
fixed_direction;Direção fixa
id_building;Construção
hp_adjust_common_value;Ajuste de HP
defence_adjust_common_value;Ajuste de defesa
attack_adjust_common_value;Ajuste de ataque
max_move_range;Máxima distância de perseguição
drop_for_no_profit_time;Drop não afeta o tempo residual
drop_mine_condition_flag;Condição de dropar mina
drop_mine_probability;Probabilidade mina
label;Pagamento. descrição
domain_related;Relacionado a domain
carrier_id;ID Configurações de transporte
max_received_damage_per_hit;Dano Máximo por Ataque
monster_father_id;ID pai do monstro
monster_father_part;A parte principal do monstro
faction_instance_drop_config_id;ID drop guild dungeons
id_dialog;NPC talk ID
storage_id;Contrato Divino
storage_open_item;Item abertura do contrato
storage_refresh_item;Item para atualização do contrato
storage_refresh_per_day;Máxima de atualizações de contrato em dia
storage_refresh_count_min;Número de missões no contrato (min)
storage_refresh_count_max;Número de missões no contrato (máximo)
storage_deliver_per_day;Máxima esco. missões de armazenamento em dia
storage_refresh_on_crossserver;Atualizar a missão no cross-server
num_targets;Pontos de teleporte
id_make_skill;Habilidade de forja
produce_type;Tipo de Forja
id_decompose_skill;Habilidade de forja necessária
refresh_time;Tempo de atualização
attack_rule;Guardião
tax_rate;O montante do imposto
id_src_monster;Vinculado mob
hello_msg;Saudação
id_to_discover;Ativada ponto de TP
id_talk_service;Serviço de dialogo
id_sell_service;Serviço de venda
id_buy_service;Serviço de compra
id_repair_service;Serviço de reparo
id_install_service;Serviço de fundir pedras
id_uninstall_service;Serviço de purificar pedras
id_task_out_service;Serviços de missões (pegar)
id_task_in_service;Serviço de missões (entregar)
id_task_matter_service;O serviço de Emissão de кв. rizóbio.
id_skill_service;Serviço de aprender habilidades
id_heal_service;Serviço de Cura
id_transmit_service;Serviço de teleporte
id_transport_service;Serviço de transporte
id_proxy_service;Serviço de proxy
id_storage_service;Serviço de armazenamento
id_make_service;Serviço de forja
id_decompose_service;Serviço de destruir
id_identify_service;Serviço de identificação de itens
id_war_towerbuild_service;Serviço de construir torres (TW)
id_resetprop_service;Serviço de resetar atributos
id_petname_service;Serviço de nome do mascote (Pets)
id_petlearnskill_service;Serviço de habilidades (Pets)
id_petforgetskill_service;Serviço de remoção de habildades (Pet)
id_equipbind_service;Serviço de prender equipamentos
id_equipdestroy_service;Serviço de destruir itens
id_equipundestroy_service;Serviço de cancelamento de destruição
id_goblin_skill_service;O serviço de Pesquisa de habilidades gênio
id_cross_server_service;Serviços (Cross Servidor)
combined_services;Serviços combinados
id_mine;Mina
no_collision;Sem colisão
id_engrave_service;Serviço de gravura
id_randprop_service;Serviço de addons aleatórios
id_force_service;Serviço de facções (Morai)
id_arena_sell_service;O serviço de Venda da arena
id_statue_create_service;Serviço de Criação de estátuas
id_lib_produce_service;O Serviço De Jbeil. produção
id_faction_sell_service;O serviço de Venda de guilda
faction_combined_services;Uma combinação de serviços de guilda
id_park_enter_service;O serviço de Logon de passeio no parque de diversões
file_base_tex;A textura
file_high_tex;Subcut. a textura
tex_part_id;O ID é a parte da textura
gender_id;Gênero
visualize_id;ID visualização
user_data;Dados do usuário
facepill_only;Só para pílulas
fashion_head_only;Só para chapelaria
file_shape;A textura
shape_part_id;ID do rosto
file_expression;A textura
emotion_id;ID Emoções
file_hair_skin;Modelo
file_hair_model;?O modelo do cabelo
file_moustache_skin;A textura
file_colorpicker;Arquivo da cor
color_part_id;ID da cor
file_data;Arquivo de configuração
recipe_level;Nível do recipe
bind_type;Tipo de vinculação
fail_probability;Probabilidade de falha
num_to_make;Quantidade de items
duration;Tempo de Forja (Em Segundos)
id_upgrade_equip;Upgrade
upgrade_rate;Taxa de upgrade
engrave_upgrade_rate;Taxa Upgrade Gravura
addon_inherit_fee_rate;Taxa Upgrade Transf. Addons
arena_personal_point;Necessários pontos de arena
poker_recipe;Cartões de receita
character_class_id;Classe de personagem
enemy_faction;Dão de frente com um grupo de
hp_gen;Regen de HP
mp_gen;Regen de MP
crit_rate;Chance de acerto crítico
vit_hp;A HP para pc. resistência
eng_mp;MP por pc. inteligência
agi_attack;Mira quando +agilidade
agi_armor;Esquivando-se quando +agilidade
lvlup_hp;+De HP com o aumento do nível de
lvlup_mp;+MP ao aumento do nível
lvlup_dmg;+De elaboração de um ataque ao aumento do nível
lvlup_magic;+Mago ataque ao aumento do nível
lvlup_defense;+De elaboração de deformaç ao aumento do nível
lvlup_magicdefence;+Mag def ao aumento do nível
angro_increase;+ a agra
dmg_adj_to_spec_atk_speed;Multiplicador de dano de especificação. velocidade de ataque
atk_rate_adj_to_spec_atk_speed;O multiplicador de ataque da especificação. velocidade de ataque
action_name;Nome da ação
action_prefix;O prefixo passos
hide_weapon;Esconder armas
use_on_pick;Usar ao pegar
no_use_in_combat;Não pode ser usado em combate
file_faling_skin;A textura
level_required;Nível necessário
id_equipment_required;Item necessário
eliminate_tool;Unknow
time_min;Tempo mínimo
time_max;Tempo máximo
task_in;Obtém missão
task_out;Finaliza missão
uninterruptable;Não pode ser interrompido
npcgen_times;O número de chamadas de mobs
permenent;Não desaparece
max_gatherer;Quantidade máxima
mine_type;Tipo
gather_dist;Distância
material_gain_ratio;Chance de obter
gather_start_action_config;Animação de coleta (Origem)
gather_loop_action_config;Animação de coleta (Ciclo)
caster_word;Descrição
cursor;O cursor
fee;Preço
equip_fashion_mask;A máscara de uma célula
require_dye_count;Quantidade de tinta
gender;Gênero
wear_action;Ação
h_min;Hue (min)
h_max;Hue (máximo)
s_min;Saturação (min)
s_max;Saturação (max)
v_min;Brilho (min)
v_max;Brilho (máx)
bound_file;Dados
unsymmetrical;0 - Normal | 1 -  Avançado 
camera_scale;O zoom da câmera
max_equips;Quantidade de equipamentos
id_object;Monstro
level_max;Nível máximo
level_require;Nível necessário
pet_snd_type;Tipo de som dos passos
hp_a;HP a
hp_b;HP b
hp_c;HP c
hp_gen_a;Melhoria de HP a
hp_gen_b;Melhoria de HP b
hp_gen_c;Melhoria de HP c
damage_a;Melhoria de dano A
damage_b;Melhoria de dano B
damage_c;Melhoria de dano C
damage_d;Melhoria de dano D
speed_a;Velocidade a
speed_b;Velocidade b
attack_a;Ataque A
attack_b;Ataque B
attack_c;Ataque C
armor_a;Defesa A
armor_b;Defesa B
armor_c;Defesa C
physic_defence_a;Defesa física A
physic_defence_b;Defesa física B
physic_defence_c;Defesa física C
physic_defence_d;Defesa física D
magic_defence_a;Defesa mágica A
magic_defence_b;Defesa mágica B
magic_defence_c;Defesa mágica C
magic_defence_d;Defesa mágica D
mp_a;MP a
mp_gen_a;Melhoria MP a
attack_degree_a;Taxa de ataque
defence_degree_a;Índice de protecção
food_mask;Tipo de alimento
plant_group;Planta
group_limit;Limite
player_gain_skill;Player Gain Skill
id_pet_egg_evolved;Id Pet Evoluído
cost_index;Custo
hp_inherit_max_rate;Legacy. HP máximo
attack_inherit_max_rate;Legacy. max ataque
defence_inherit_max_rate;Legacy. max proteção
attack_level_inherit_max_rate;Legacy. max taxa de ataque
defence_level_inherit_max_rate;Legacy. max índice de protecção
specific_skill;Especificação. nível de aptidão
id_evolved_skill_rand;Habilidade evolução
id_pet;Mascote
money_hatched;Preço de incubação
money_restored;Preço recuperação
honor_point;Humor
skill_point;Alma
hornor;Dedicação
food_type;Tipo de alimento
file_fw;Animação
time_to_fire;Tempo 
id_object_need;Item necessário
level_skill;Nível habilidade
ext_reserved_prob;Probabilidade de Falha
ext_succeed_prob;Probabilidade de Sucesso
fail_reserve_level;Tipo
binding_only;Apenas equipamentos presos
require_level_max;Nível Necessário (max)
id_icon_set;ID conjunto
total_hp;Quantidade de HP
trigger_amount;MP menor que (%)
total_mp;Quantidade MP
double_exp_time;Duração
cross_world_transmit;Teleport entre os locais
usage;Tipo de tinta
exp_factor;Multiplicador de EXP
init_strength;Força
init_agility;Agilidade
init_energy;Inteligência
init_tili;Vitalidade
max_refine_lvl;Refino máximo (NÃO FUNCIONA)
equip_type;0 - Jade :: 1 - Amuleto :: 2 - Espelho :: 3 - Jóia
req_goblin_level;Nível daimon necessário
strength;Força +
agility;Agilidade +
energy;Pontos Ativos VIP
tili;Resistência +
show_model;Modelo
num_sell_item;Máximo de items à venda
num_buy_item;Máximo de itens compra
max_name_length;Caracteres nome 
name_image;Quadro de títulos
num_use_pertime;Número de uso
num_area;Área
use_in_combat;Pode ser utilizado em batalha
use_in_sanctuary_only;Apenas em zonas seguras
target_faction;Alvo
inc_ratio;Aumento de experiência até
year;Ano
month;Mês
day;Dia
addon_time;O tempo de ação
gfx_index;Índice de efeito
money;Custo
base_time;Tempo Base
delta_time;Aceleração
congregate_type;Tipo de Recall
require_level_min;Nível Necessário (min)
reputation_max;Prestígio máximo
contribution_max;Contribuição máxima
join_money_cost;Custo de moedas
join_item_cost;Custo de item
quit_repution_cost;Multa de prestigio ao sair
quit_contribution_cost;Multa de contribuição ao sair
require_force;Exigida a fração
reputation_add;Prestígio
reputation_increase_ratio;Ratio de bônus
force_id;ID Facção
max_time;Limite
flag_mine_id;Mina Bandeira (ID)
attack_flag_goal_radius;O raio da área (Ataque)
defence_flag_goal_radius;O raio da área (Proteção)
disabled;Desativado
id_old_stone;Pedra antiga
id_new_stone;Pedra nova
condition;Condição
after_name;Posição
phy_damage;Ataque físico
magic_damage;Ataque mágico
phy_defence;Defesa Física
magic_defence;Defesa Mágica
broadcast;Broadcast
event;Evento
position_in_suite;Posição completo
enabled;Habilitado
dynamic_color;Dinâmico
switch_color_interval;O intervalo de mudança de cor
power;Energia
hp;HP
damage;Ataque físico
vigour;Espirito
progress_value_id;Progresso (ID)
progress_value_goal;Valor necessário
require_gender;Sexo
require_soul_power;Trebes. o poder do espírito
worldtag;ID locais(worldtag)
time_type;Periodicidade
week;Semana
shape;A forma (aparência)
hp_inc_ratio;O multiplicador de saúde
speed;Velocidade de movimento
pre_chariot;ID catapulta anterior ur.
upgrade_cost;O custo de melhorias
promote_ratio;Bônus
swallow_exp;Experiência
file_img;Avatar
rank;Categoria
max_level;Nível Máximo
inc_hp;HP +
inc_damage;Ataque físico +
inc_magic_damage;Ataque mágico +
inc_defence;Defesa
inc_vigour;O espírito de luta +
show_order;Posição
id_token_shop;ID configurações
inc_attack_degree;A taxa de ataque
inc_defend_degree;Índice de protecção
first_buy_price;Preço inicial
first_buy_range;O número inicial de
point;Pontos para a compra
upper_limit;Tempo residual
max_weight;Máximo de pontos
other_task_list_config_id;Uma lista especial de missões
min_inner_point_value;O poder de uma estrela do destino (min)
max_inner_point_value;O poder de uma estrela do destino (máximo)
max_init_inner_point_value;Máxima de poder inicial estrelas do destino
init_all_inner_point_value;A força total da estrela do destino (min)
max_all_inner_point_value;A força total da estrela do destino (máximo)
id_rand_when_fail;Bônus ao falhar
base_swallow_exp;A experiência com a ingestão de
has_guid_rand;Gerar um GUID
addon_random_exp_gained;Experiência obtida
increase_base;Aumento 
require_min_all_inner_point_value;Nível mínimo necessário
require_max_all_inner_point_value;Nível máximo necessário
item_expire_timelength;O tempo de ação
sign_up_money_cost;O custo do registo
resource_point;O número inicial de recursos
resource_tower_destroy_reduce_point;A redução de recursos para a destruição da torre
attacker_boss_tid;ID do chefe (Ataque)
defender_boss_tid;ID do chefe (Proteção)
attacker_small_boss_tid;ID encarnação chefe (Ataque)
defender_small_boss_tid;ID encarnação chefe (Proteção)
small_boss_death_reduce_point;A redução de recursos para a destruição da encarnação chefe
attacker_small_boss_controller_id;ID do controlador da encarnação chefe (Ataque)
defender_small_boss_controller_id;ID do controlador da encarnação chefe (Proteção)
small_boss_appear_time;O tempo de aparecimento da encarnação chefe
debuff_appear_time;O tempo do advento дебаффа
debuff_init_ratio;Poder inicial дебаффа
debuff_enhance_ratio_per_minute;O aumento do poder de дебаффа em um minuto
domain_resurrect_pos_range;Refeições a ressurreição de Raio
domain_resource_point_range;Fonte de recursos Raio
domain_degree_total;Domain degree total
domain_degree_per_person_second;Domain degree per second person
domain_gain_resource_point_per_second;A obtenção de recursos de origem para o intervalo de
domain_gain_resource_point_interval;O intervalo de obter recursos da fonte
domain_reduce_resource_point_on_death;A redução de recursos para a destruição do jogador
activity_type;Tipo
player_count_limit;Quantidade máxima de jogadores
time_out;Tempo gasto no interservidor
need_item_tid;Item Requerido
need_item_count;Quantidade
cost_item;Quantidade de itens (asd)
history_max_level_require;Nível máximo requerido
taoist_rank_require;Cultivo
realm_level_require;Nível de céu
male_mine_id;Mina (homens)
female_mine_id;Mina (mulher)
cast_action;Ação
receiver_word;Descrição 2
is_have_surface_display;Item exibido
time;Tempo de Produção
building_level_min;Trebes. o nível do edifício (min)
building_level_max;Trebes. o nível do edifício (máximo)
file_matter_primary;Modelo (Inicial)
file_matter_grow_up;Modelo (Completo)
file_matter_ripe;O Modelo (Que Cresceu)
output;O número de recursos recebidos
produce_item_times;O número de ciclos de produção de itens
cost_grain_count;Trebes. alimento
cost_item_id;ID trebes. assunto
cost_item_count;O número de opc. assunto
sub_type;Sob o tipo de
prosperous_effect_ratio;Multiplicador de bônus de prosperidade
service_type;Tipo de produção
is_base_formulas;Fórmula básica
level_need;Trebes. o nível de
home_item_id;ID do objeto para o lar
success_probility;A chance de criar
count;Quantidade do objeto
time_use;Tempo de produção
energy_consume;Energia Nerce.
home_exp_gain;Experiência em casa pela criação de
produce_consume_stone_num;Trebes. pedra
produce_consume_wood_num;Trebes. madeira
produce_consume_iron_num;Trebes. ferro
produce_consume_cloth_num;Trebes. tecido
produce_consume_money;Moedas Necessárias
formulas_id;ID receita
produce_times;Número de utilizações da prescrição
factory_type;Tipo de especialização
min_general_prosperous;Normal prosperidade (min)
max_general_prosperous;Normal prosperidade (máximo)
min_fine_prosperous;Raro prosperidade (min)
max_fine_prosperous;Raro prosperidade (máximo)
fine_rand_probability;Chance rara de prosperidade
clean;Limpeza
max_placed_num;Máxima de colocações
is_permit_outside;Você pode posicionar na terra
hang_type;Localização
is_display;Exibir
factory_config;Especialização
resource_config;Produção
show_priority;Prioridade de exibição
forbid_equip;Não é possível equipar o
refresh_task_count_min;Número de missões (min)
refresh_task_count_max;Número de missões (máximo)
refresh_times;As atualizações de um dia
refresh_cost_grain;Trebes. alimento para a atualização
deliver_task_max;O número de missões recebidas por dia
unique_id;ID histórica da variável
value_add;Adicionar o valor do ist. mover.
skill_id;ID aptidão
item_id;ID do objeto
item_count;Quantidade do objeto
time_limit;O limite de tempo
money_min;Moedas (min)
money_max;Moedas (máximo)
cash_min;Gold (min)
cash_max;Gold (máximo)
deliver_count_min;Número de envelopes (min)
deliver_count_max;Número de envelopes (máximo).
special_item_id;ID item especial
require_item_id;ID trebes. assunto
require_item_count;Quantidade
award_point;Pontos para a pesquisa
require_point;Trebes. pontos
controller_id;ID do controlador
file_tex;A textura
texture_id;ID texturas de casa
grass_id;ID plantas em casa
id_home_item;ID do objeto para o lar
id_guardian_beast;ID do animal de estimação da casa
swallow_energy;Energia e na absorção de
guardian_beast_id;ID do animal de estimação da casa
race;Raça
max_enemy;Máximo de inimigos
id_cost_config;ID Definições de valor
id_guardian_beast_egg;ID do ovo animal de estimação da casa
base_reward;Prêmio Principal
skin_id;ID locais da casa
area_id;ID locais
max_cost;O valor máximo de
enable_produce_ui;Exibir a janela de produção
team_create_cost;O custo de criação de um comando
battle_match_cost;O custo de seleção de batalha
teammate_max_count;Máximo tamanho de grupo
slot;Slot de Runa
next_level_item_id;ID rizóbio. a trilha. ur.
previous_level_item_id;ID rizóbio. diante. ur.
id_src_npc;ID associado Nipa
timelength;Tempo da Estátua
wait_time;O tempo de espera
monster_id;ID do monstro
skil_id;ID habilidades
produce_consume_point;Trebes. pontos para a criação de
choice_count;A quantidade de opções
award_times;A quantidade de emissão de prêmios
equipment_id;ID do objeto
material_id;ID do objeto
material_desc;Descrição
source_recipe_desc;Fonte de receita Descrição
source_qshop;Origem Shop
source_offline_shop;Fonte loja de comissionamento
source_box;Fonte Loteria/Baú
require_complete_times;Trebes. executar vez
faction_score;Pontos de guilda
faction_money;Ouro guilda
auto_active;Auto ativação
common_value_id;ID globe. variável
common_value;O valor da globe. variável
faction_target_config_id;ID objetivo da guilda
task_id;ID da busca
task_probability;A probabilidade de busca
cast_start_action;Animação (Início)
cast_loop_action;Animação (Ciclo)
cast_end_action;Animação (Final)
file_pos_img;A imagem do estado progresso
progress_speed;A velocidade do progresso
require_player_count;Trebes. o número de jogadores
pos_max_x;Coord. max X
pos_max_z;Coord. max Z
pos_min_x;Coord. min X
pos_min_z;Coord. min Z
magic_defences_1_low;Defesa metal (min)
magic_defences_2_low;Defesa madeira (min)
magic_defences_1_high;Defesa metal (max)
magic_defences_2_high;Defesa madeira (max)
magic_defences_3_low;Defesa água (min)
magic_defences_3_high;Defesa água (max)
magic_defences_4_low;Defesa fogo (min)
magic_defences_4_high;Defesa fogo (max)
magic_defences_5_low;Defesa terra (min)
magic_defences_5_high;Defesa terra (max)
build_info_1_id_in_build;Monstro $
area_id_1;ID Área $
magic_defences_1;Defesa metal
magic_defences_2;Defesa madeira
magic_defences_3;Defesa água
magic_defences_4;Defesa fogo
magic_defences_5;Defesa terra
drop_mines_1_life;Tempo de vida
prof_list_2_gender_list_1_item_id;Mago
prof_list_2_gender_list_2_item_id;Mago
prof_list_3_gender_list_1_item_id;Espiritualista
prof_list_3_gender_list_2_item_id;Espiritualista
prof_list_4_gender_list_1_item_id;Feiticeira
prof_list_4_gender_list_2_item_id;Feiticeira
prof_list_5_gender_list_1_item_id;Bárbaro
prof_list_5_gender_list_2_item_id;Bárbaro
prof_list_6_gender_list_1_item_id;Mercenário
prof_list_6_gender_list_2_item_id;Mercenário 
prof_list_7_gender_list_1_item_id;Arqueiro
prof_list_7_gender_list_2_item_id;Arqueiro
prof_list_8_gender_list_1_item_id;Sacerdote
prof_list_8_gender_list_2_item_id;Sacerdote
prof_list_9_gender_list_1_item_id;Arcano
prof_list_9_gender_list_2_item_id;Arcano
prof_list_10_gender_list_1_item_id;Místico
prof_list_10_gender_list_2_item_id;Místico
prof_list_11_gender_list_1_item_id;Retalhador
prof_list_11_gender_list_2_item_id;Retlhador
prof_list_12_gender_list_1_item_id;Tormentador
prof_list_12_gender_list_2_item_id;Tormentador
level_1_award_page_config_id;Recompensa Andar $
storage_refresh_money;Quantidade de moedas - atualizar
model_scale;Escala do Modelo
require_reincarnation_times;Requer Despertar (Vezes)
dialog;Diálogo

~build_info_$_id_in_build;Monstro 1
~area_id_$;ID locais $1
~param$;Valor $1
~drop_probability_socket$;Drop :: Probabilidade $1 slots
~make_probability_socket$;Forja :: Probabilidade $1 slots
~probability_addon_num$;Probabilidade de Ter $1 Addons
~addons_$_id_addon;Addon $1
~addons_$_probability_addon;Probabilidade $1
~rands_$_id_rand;Addon $1
~rands_$_probability_rand;Probabilidade $1
~uniques_$_id_unique;Addon único $1
~uniques_$_probability_unique;Probabilidade addon único $1
~hides_$_id_hide;Hides $1 ID Hide
~hides_$_probability_hide;Hides $1 Probability Hide
~file_model$;O modelo de $1 (sombra)
~improve_config_$_require_item_num;Custo melhoria $1
~improve_config_$_speed_increase;Aumento da velocidade (min) $1
~improve_config_$_speed_rush_increase;Aumento da velocidade (max) $1
~id_addon$;Bônus $1
~aggro_strategy_$_id;Estratégia ID $1
~aggro_strategy_$_probability;Probabilidade
~skill_hp$_$_id_skill;[$1% HP] Aptidão $2
~skill_hp$_$_level;O nível de $1
~skill_hp$_$_probability;A chance de $1
~skills_$_id_skill;Habilidade $1
~skills_$_level;Nível habilidade
~probability_drop_num$;Probabilidade de dropar $1 itens
~drop_matters_$_id;Item $1
~drop_matters_$_probability;Probabilidade $1
~drop_mines_$_id;Mina $1
~drop_mines_$_probability;Probabilidade minas
~drop_mines_$_life;Tempo de vida
~local_var_$;Váriavel local $1
~pages_$_page_title;Aba $1
~pages_$_require_contrib;Contribuição (Morai) necessária
~pages_$_require_force;Facção (Ordem) necessária
~pages_$_require_force_reputation;Prestigio necessário
~pages_$_goods_$_id;Item $1-$2
~pages_$_goods_$_contrib_cost;Custo contribuição
~pages_$_goods_$_force_contribution_cost;Custo Influência
~pages_$_goods_$_solo_tower_challenge_score_cost;Custo Pontos Torre do Martirio
~id_goods_$;Mercadorias $1
~id_tasks_$;Missão
~tasks_$_id_task;Missão $1
~tasks_$_taks_matters_$_id_matter;Item $1
~tasks_$_taks_matters_$_num_matter;Quantidade $1
~id_skills_$;Habilidade ID: 
~targets_$_idTarget;ID do Teleporte
~targets_$_fee;Custo
~targets_$_required_level;Mínima de nível
~routes_$_id;rotas $1
~routes_$_fee;rotas $1 taxa de
~pages_$_id_goods_$;Item $1-$2
~combined_services$;Uma combinação de serviços $1
~targets_$_id_to_make;Item $1
~targets_$_probability;Probabilidade $1
~materials_$_id;Material $1
~materials_$_num;Quantidade $1
~enemy_factions_$;Desconhecido
~spirit_adjust_$;Bônus de células Destruição $1
~poker_adjust_$;Bônus de cartão de Destruição $1
~level_diff_adjust_$_level_diff;A diferença nos níveis de $1 a Diferença nos níveis de
~level_diff_adjust_$_adjust_exp;A diferença nos níveis $1 Multiplicador de experiência
~level_diff_adjust_$_adjust_sp;A diferença nos níveis $1 Multiplicador do espírito santo
~level_diff_adjust_$_adjust_money;A diferença nos níveis $1 Multiplicador de moedas
~level_diff_adjust_$_adjust_matter;A diferença nos níveis $1 Multiplicador de itens
~level_diff_adjust_$_adjust_attack;A diferença nos níveis $1 Multiplicador de ataque
~team_adjust_$_adjust_exp;O número de membros do grupo $1 Multiplicador de experiência
~team_adjust_$_adjust_sp;O número de membros do grupo $1 Multiplicador do espírito santo
~team_profession_adjust_$_adjust_exp;O número de classes em grupo $1 Multiplicador de experiência
~team_profession_adjust_$_adjust_sp;O número de classes em grupo $1 Multiplicador do espírito santo
~use_monster_spirit_adjust_$;O multiplicador de energia quando o nivelamento de células para cartas $1
~action_weapon_suffix_$_suffix;ação arma sufixo $1 sufixo
~task_lists_$_id;Missão $1
~task_lists_$_probability;Probabilidade
~exp_$;Nível $1
~materials_$_probability;Probabilidade de obter
~materials_$_life;Duração
~num$;A quantidade de itens
~probability$;A chance de cair
~npcgen_$_id_monster;ID do Monstro
~npcgen_$_num;Número de monstros
~npcgen_$_radius;Radius
~npcgen_$_life_time;Tempo de vida
~npcgen_$_probability;A probabilidade de
~aggros_$_monster_faction;Um grupo de mobs
~aggros_$_radius;O raio de
~aggros_$_num;O número de
~pllfiles_$_file;O modelo da cabeça do Guerreiro (M)
~equipments_$_id;Equipamento $1
~addons_$_id;Bónus $1
~build_info_$_id_in_build;Monstro 1
~build_info_$_id_buildup;Monstro $1
~build_info_$_id_object_need;Objeto necessário
~build_info_$_time_use;Tempo de construção
~build_info_$_fee;Custo construção
~exp_lost_$;Percentual perda de EXP $1
~prop_entry_$_id_object_need;Item necessário
~prop_entry_$_strength_delta;Força
~prop_entry_$_agility_delta;Destreza
~prop_entry_$_vital_delta;Inteligência
~prop_entry_$_energy_delta;Vitalidade
~fail_ext_succeed_prob_$;Refino $1
~id_object_need_$;Item necessário
~id_addons_$;Bônus
~file_icon$;Icone Lv. $1
~default_skill$;Habilidade padrão $1
~rand_prop_$_rand_num;Pontos $1
~rand_prop_$_rand_rate;Probabilidade
~area_id_$;ID locais $1
~target_id_for_pop_$;Objeto $1
~num_refine_$;Reinfo $1
~num_weapon_$_$;Arma $1-$2
~num_armor_$_$;Armadura $1-$2
~num_stone_$;Quantidade de pedras $1
~num_engrave_$;O custo da gravura $1
~num_addon_$;O valor do bônus $1
~num_decoration_$_$;Custo acessório $1-$2
~blacklist_$;Lista Negra $1
~hair_texture_map_$_model_id;Mapa de textura do cabelo - ID de um Modelo de
~hair_texture_map_$_texture_id;Mapa de textura do cabelo - ID Textura
~choice_$_multi_time;Tempo de ação $1
~choice_$_rate;Taxa de experiência $1
~choice_$_item_count;Item necessário
~choice_$_demulti_wait_time;Tempode espera $1
~choice_$_demulti_time;Tempo de multa $1
~skill_map_$_$;Habilidade $1-$2
~wedding_session_$_start_hour;Ínicio Sessão de Casamento $1 (Hora)
~wedding_session_$_start_min;Inicio Sessão de Casamento $1 (mín)
~wedding_session_$_end_hour;Fim Sessão de Casamento $1 (hora)
~wedding_session_$_end_min;Fim Sessão de Casamento $1 (mín)
~reserved_day_$_year;Ano $1
~reserved_day_$_month;Mês $1
~reserved_day_$_day;Dia $1
~wedding_scene_$_name;Festas de casamento $1 Nome
~wedding_scene_$_pos_$;Festas de casamento $1 Coord. teletransporte $2
~addon_$;Bônus
~require_item_$_id;Item necessário $1
~require_item_$_count;Quantidade de items $1
~level_$_exp;Experiência Lv. $1
~level_$_tech_point;O nível de $1 Óculos de tecnologia
~tech_point_cost_$_$;O custo тех. ponto $1-$2
~init_building_$;Iniciar construção $1
~controller_id_$;ID do controlador $1
~common_value_$_id;Valor total - $1 ID
~common_value_$_value;Valor total - $1 o Valor
~technology_$;Tecnologia $1
~material_$;Material $1
~controller_id$;ID Trigger $1
~material_count_$;Quantidade de Material $1
~area_$_id;Local $1 ID
~area_$_require_level;Local $1 Nível Necessário de Quem Invoca
~area_$_require_reply_level;Loca $1 Nível Necessário do Alvo
~area_$_require_reply_level$;Local $1 Cultivo Necessário do Alvo
~area_$_require_reply_reincarnation_times;Local $1 Renascimento Necessário do Alvo
~area_$_require_reply_realm_level;Local $1 Céu Necessário do Alvo
~probability_addon_num_$;A chance de $1 bônus
~addons_$_probability;A chance de
~id_engrave_$;Gravura $1
~pages_$_id_recipe;Guia $1 Receita
~equip_id_$;Equipamento
~essence_$;Item $1
~recipe_$;Receita $1
~task_$;Quest $1
~skill_$;Aptidão $1
~itemlist_$;Item $1
~id_skill_$;Habilidade $1
~list_$_id;Item $1
~list_$_point;Quantidade$1
~choice_$_time;Tempo
~choice_$_interval;Intervalo
~choice_$_ids_$;Item $1-$2
~choice_$_exp_$;Experiência $1-$2
~country_$_name;Nome Dinastia $1
~country_$_file_icon;Ícone Dinastia $1
~country_$_color;Cor Dinastia $1
~flag_controller_id_$;ID Controlador Bandeira $1
~attack_flag_goal_$;Ataque - Objetivo (área)
~defence_flag_goal_$;A área de entrega da bandeira (Proteção) $1
~attack_tower_$_controller_id;Torre (Ataque) $1 ID do controlador
~attack_tower_$_id;Torre (Ataque) $1 ID do monstro
~attack_tower_$_group;Torre (Ataque) $1 Grupo
~defence_tower_$_controller_id;Torre (Proteção) $1 ID do controlador
~defence_tower_$_id;Torre (Proteção) $1 ID do monstro
~defence_tower_$_group;Torre (Proteção) $1 Grupo
~stronghold_$_state_$_controller_id;Cristal $1 Status $2 ID do controlador
~stronghold_$_state_$_mine_id;Cristal $1 Status $2 ID da mina
~stronghold_$_pos_$;Cristal $1 Coord. $2
~stronghold_$_radius;Cristal $1 Raio
~stronghold_$_mine_pos_$;Cristal $1 Coord. a mina $2
~openlist_$;Abrir lista $1
~closelist_$;Fechar lista $1
~action_mask_$;Máscara de ação $1
~cost_$_num_evolve_$_$;Custo: Evolução $1-$2
~cost_$_num_inherit_$_$;Custo: Herança $1-$2
~cost_$_num_rand_skill_$_$;Custo: Habilidades $1-$2
~skills_$_id;Skill ID
~prof_para_$_hp;Guerreiro Saúde
